,date,open,close,high,low,volume,code
872,2019-08-01,976.51,959.3,977.0,953.02,35089.0,sh600519
873,2019-08-02,944.0,954.45,957.98,943.0,39719.0,sh600519
874,2019-08-05,945.0,942.43,954.0,940.0,36774.0,sh600519
875,2019-08-06,931.0,946.3,948.0,923.8,43991.0,sh600519
876,2019-08-07,949.5,945.0,955.53,945.0,26869.0,sh600519
877,2019-08-08,953.5,971.68,974.0,952.0,38808.0,sh600519
878,2019-08-09,978.5,962.03,980.95,958.99,28461.0,sh600519
879,2019-08-12,1010.31,1018.63,1020.1,995.01,81498.0,sh600519
880,2019-08-13,1016.16,1017.95,1026.0,1010.68,30329.0,sh600519
881,2019-08-14,1030.02,1043.33,1051.9,1030.02,41410.0,sh600519
882,2019-08-15,1028.0,1044.9,1046.48,1028.0,27237.0,sh600519
883,2019-08-16,1049.84,1054.6,1075.58,1041.0,36086.0,sh600519
884,2019-08-19,1061.0,1055.88,1069.98,1049.05,32867.0,sh600519
885,2019-08-20,1055.0,1070.0,1073.68,1050.0,28602.0,sh600519
886,2019-08-21,1070.1,1066.0,1076.97,1061.66,25066.0,sh600519
887,2019-08-22,1072.99,1104.0,1104.0,1070.0,37590.0,sh600519
888,2019-08-23,1105.0,1130.1,1133.56,1095.62,40192.0,sh600519
889,2019-08-26,1113.0,1102.95,1128.0,1096.68,48497.0,sh600519
890,2019-08-27,1117.0,1109.0,1131.31,1109.0,52164.0,sh600519
891,2019-08-28,1109.0,1100.11,1123.19,1083.01,47009.0,sh600519
892,2019-08-29,1105.0,1113.1,1118.18,1092.5,29330.0,sh600519
893,2019-08-30,1125.0,1142.0,1146.0,1123.0,44890.0,sh600519
894,2019-09-02,1139.99,1138.76,1144.98,1129.0,28234.0,sh600519
895,2019-09-03,1140.0,1140.0,1151.02,1128.56,29485.0,sh600519
896,2019-09-04,1140.8,1125.01,1142.91,1120.11,33600.0,sh600519
897,2019-09-05,1129.0,1144.0,1144.9,1128.0,32930.0,sh600519
